ageclassn,TAMRAM,POPFRE,SALEXI,BACSALN,BACSALF
1,2.61975,0.0,1.738375,0.16625,0.430875
2,2.9590000000000005,0.3117,2.6475999999999997,1.6602000000000001,4.1152999999999995
4,2.7118,0.5488000000000001,2.2418,2.6834,13.2286
6,4.686,0.0,4.852857142857142,5.963285714285715,4.080571428571429
12,13.661,1.497333333333333,17.865333333333332,3.2071666666666663,5.599166666666666
25,6.5143571428571425,1.9248571428571428,22.43342857142857,4.925857142857143,3.9845
40,1.9896,7.7876,2.8956,4.6456,10.2934
50,3.2184545454545455,5.825045454545455,3.178681818181818,2.8521818181818186,1.5858636363636363
